"nome","partita_iva","dug","indirizzo","civico","cap","citta","provincia","pec","codice_ateco","fatturato"
"PIZZERIA SAN MICHELE DI ROSSI LUCA","01234560987","VIA","DEI SETTE MARTIRI","12","05018","ORVIETO","TR","sanmichele.rossi@pecmail.it","561111",""
"PIZZERIA IL SOLE DI BIANCHI MARIA","09876543210","STRADA","SAN FAUSTINO","34","05035","NARNI","TR","ilsole.bianchi@pecmail.it","561112",""
"PIZZERIA PASTICCERIA STELLA S.R.L.","11223344556","CORSO","DEL POPOLO","78","05100","TERNI","TR","stella.srl@pecmail.it","561112","803319"
"PIZZERIA DEL CENTRO S.N.C. DI VERDI GIULIA & C.","22334455667","VIA","CESARE BATTISTI","21","05100","TERNI","TR","centro.verdi@pecmail.it","561112",""
"PIZZERIA FANTASIA DI NERI PAOLO","33445566778","VIA","ALDO BARTOCCI","7/B","05100","TERNI","TR","fantasia.neri@pecmail.it","561112",""
"L'AURORA BAR PIZZERIA TRATTORIA DI FERRARI ANNA","44556677889","VOCABOLO","I PRATI","88","05039","STRONCONE","TR","aurora.ferrari@legalmail.it","561111",""
"PIZZERIA DA LUCA 2 DI RUSSO MARCO","55667788990","VIA","MONTANARA","22","05100","TERNI","TR","daluca2.russo@pecmail.it","561111",""
"PIZZERIA DEL TEATRO DI CONTI ELENA","66778899001","PIAZZA","DEL TEATRO","5","05020","AVIGLIANO UMBRO","TR","teatro.conti@pecmail.it","561112",""
"PIZZERIA SAN GIUSEPPE DI GATTI LUIGI","77889900112","VIA","LUCA SIGNORELLI","15","05018","ORVIETO","TR","sangiuseppe.gatti@pecmail.it","561112",""
"RISTORANTE PIZZERIA 9 3/4 DI MORETTI SARA","88990011223","VIA","FILIPPO TURATI","19","05100","TERNI","TR","ristorante.moretti@impresa.italia.it","561111",""
"PIZZERIA LE ROSE DI DE ANGELIS FRANCESCO","99001122334","VIA","ARNO","55","05018","ORVIETO","TR","lerose.deangelis@pecmail.it","561112",""
"PIZZERIA SUPER GUSTO S.R.L.","33445566789","VIALE","GIOACCHINO ROSSINI","11/A","05100","TERNI","TR","supergusto@pecmail.it","561111","541089"
"BAR PIZZERIA STAZIONE S.N.C. - DI BIANCHI PAOLO, LUIGI, MARCO & C.","44556677880","VIA","DELLA STAZIONE","22","05035","NARNI","TR","barstazione.bianchi@pecmail.it","563",""
"PIZZERIA VITTORIA DI FERRARI ELENA","55667788991","CORSO","CAMILLO BENSO CONTE DI CAVOUR","45","05018","ORVIETO","TR","vittoria.ferrari@pecmail.it","561112",""
"RISTORANTE PIZZERIA IL MULINO S.R.L.","66778899002","VIA","ECLO PIERMATTI","8","05100","TERNI","TR","ilmulino@pecmail.it","561111",""
"PIZZERIA IL TEMPIO DI RUSSO MARCO S.R.L.S.","77889900113","VIA","CRISTOFORO COLOMBO","14","05100","TERNI","TR","iltempio.russo@pecmail.it","561111",""
"TRATTORIA PIZZERIA CASA MIA S.R.L.","88990011224","STRADA","DI SAN CARLO","21","05100","TERNI","TR","casamia@pecmail.it","561111","230508"
"PIZZERIA IL NUOVO TEMPIO DI CONTI LUCA S.A.S.","99001122345","VIA","CRISTOFORO COLOMBO","18","05100","TERNI","TR","nuovotempio.conti@pecmail.it","561111",""
"PIZZERIA DEL PONTE S.N.C. DI NERI LUCA E BIANCHI ANNA","11223344557","VIA","DEI GELSI","9","05018","ORVIETO","TR","delponte.neri@pecmail.it","561112",""
"PIZZERIA IL TEMPIO DI FERRARI PASQUALE","22334455668","VIA","CRISTOFORO COLOMBO","20","05100","TERNI","TR","iltempio.ferrari@pecmail.it","561111",""
"PIZZERIA DA MARIO DI MORETTI SARA","33445566780","VIA","PONTE D'ORO","7","05100","TERNI","TR","damario.moretti@pecmail.it","561112",""
"PIZZERIA BATTISTI DI DE ANGELIS GIORGIO","44556677881","VIALE","CESARE BATTISTI","12","05100","TERNI","TR","battisti.deangelis@pecmail.it","561112",""
"JUNIOR BAR PIZZERIA SOCIETA' COOPERATIVA IN LIQUIDAZIONE","55667788992","VIA","CARNANO","22","05100","TERNI","TR","juniorbar@pecmail.it","561112","0"
"PIZZERIA FANTASY SNC DI BIANCHI GIULIA E ROSSI MARCO","66778899003","VIA","DANTE ALIGHIERI","11","05013","CASTEL GIORGIO","TR","fantasy.bianchi@pecmail.it","561111",""
"BAR PIZZERIA DAMI","77889900114","VIA","CESARE BATTISTI","5","05020","MONTECCHIO","TR","dami@pecmail.it","563",""
"RISTORANTE PIZZERIA LA COLLINETTA DI FERRARI LUCA","88990011225","STRADA","DI COLLESCIPOLI","18","05100","TERNI","TR","lacollinetta.ferrari@pecmail.it","561111",""
"PIZZERIA DALMAZIA DI NERI MARCO","99001122346","PIAZZA","DALMAZIA","3","05100","TERNI","TR","dalmazia.neri@pecmail.it","561112",""
"TAVOLA CALDA - PIZZERIA DUE PINI DI BIANCHI GIORGIO","11223344558","STRADA","FONTANELLE DI BARDANO","17","05018","ORVIETO","TR","duepini.bianchi@pecmail.it","561112",""
"PIZZERIA PIT START S.A.S. DI RUSSO MICHELE","22334455669","STRADA","STATALE VALNERINA","19","05030","MONTEFRANCO","TR","pitstop.russo@pecmail.it","561111",""
"PIZZERIA DELL'ALFINA DI CONTI TERESA","33445566781","PIAZZA","DEL MUNICIPIO","7","05013","CASTEL GIORGIO","TR","alfinaconti@pecmail.it","561111",""
"PIZZERIA PAZZOPACHINO CENTRO DI DE ANGELIS DANIELE","44556677882","VIA","GABELLETTA","13","05100","TERNI","TR","pazzopachino.deangelis@pecmail.it","561112",""
